Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31с16нж DN 25 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;25;100;Углеродистая сталь;5,7;По запросу;7590;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31с16нж DN 32 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;32;100;Углеродистая сталь;5,7;По запросу;8930;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31с16нж DN 40 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;40;100;Углеродистая сталь;13;По запросу;29140;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31с16нж DN 50 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;50;100;Углеродистая сталь;13;По запросу;34020;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 15 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;15;100;Углеродистая сталь;5,6;По запросу;9470;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 20 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;20;100;Углеродистая сталь;6,9;По запросу;10110;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 25 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;25;100;Углеродистая сталь;12;По запросу;12020;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 32 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;32;100;Углеродистая сталь;12;По запросу;14430;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 40 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;40;100;Углеродистая сталь;16;По запросу;38030;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31с16нж DN 50 PN 10,0 МПа У1, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31с16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -40 до +425;От -40 до +45;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;100;Углеродистая сталь;26;По запросу;43170;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 15 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;15;100;Хладостойкая сталь;2,8;По запросу;5640;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 20 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;20;100;Хладостойкая сталь;2,8;По запросу;5990;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 25 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;25;100;Хладостойкая сталь;5,7;По запросу;7740;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 32 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;32;100;Хладостойкая сталь;5,7;По запросу;9120;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 40 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;40;100;Хладостойкая сталь;13;По запросу;29740;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31лс16нж DN 50 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;50;100;Хладостойкая сталь;13;По запросу;34720;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 15 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;15;100;Хладостойкая сталь;2,8;По запросу;5640;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 20 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;20;100;Хладостойкая сталь;2,8;По запросу;5990;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 25 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;25;100;Хладостойкая сталь;5,7;По запросу;7740;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 32 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;32;100;Хладостойкая сталь;5,7;По запросу;9120;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 40 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;40;100;Хладостойкая сталь;13;По запросу;29740;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31лс16нж DN 50 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;50;100;Хладостойкая сталь;13;По запросу;34720;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 15 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;15;100;Хладостойкая сталь;5,6;По запросу;9670;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 20 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;20;100;Хладостойкая сталь;6,9;По запросу;10320;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 25 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;25;100;Хладостойкая сталь;12;По запросу;12270;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 32 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;32;100;Хладостойкая сталь;12;По запросу;14720;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 40 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;40;100;Хладостойкая сталь;16;По запросу;38810;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 50 PN 10,0 МПа ХЛ1, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;100;Хладостойкая сталь;26;По запросу;44050;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 15 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;15;100;Коррозионностойкая сталь;2,8;По запросу;22150;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 20 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;20;100;Коррозионностойкая сталь;2,8;По запросу;24020;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 25 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;25;100;Коррозионностойкая сталь;5,7;По запросу;29480;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 32 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;32;100;Коррозионностойкая сталь;5,7;По запросу;33220;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 40 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;40;100;Коррозионностойкая сталь;13;По запросу;42430;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем муфтовая ручная 31нж16нж DN 50 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Муфтовое;Ручной;50;100;Коррозионностойкая сталь;13;По запросу;45390;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31нж16нж DN 15 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;15;100;Коррозионностойкая сталь;2,8;По запросу;22150;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31нж16нж DN 20 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;20;100;Коррозионностойкая сталь;2,8;По запросу;24020;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31нж16нж DN 25 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;25;100;Коррозионностойкая сталь;5,7;По запросу;29480;Под заказ
Задвижка кованая стальная клиновая с выдвижным шпинделем под приварку ручная 31нж16нж DN 32 PN 10,0 МПа УХЛ1, корпус ст. 12Х18Н10Т, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31нж16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Ручной;32;100;Коррозионностойкая сталь;5,7;По запросу;33220;Под заказ
