Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Герметизация подвижного соединения;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан запорный сильфонный фланцевый ручной 15нж66нж1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66нж1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;100;40;Коррозионностойкая сталь;75;По запросу;337420;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66нж1 DN 125 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66нж1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;125;40;Коррозионностойкая сталь;85;По запросу;383290;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66нж1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66нж1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +565;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;150;40;Коррозионностойкая сталь;105;По запросу;404260;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 15 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;15;40;Коррозионностойкая сталь;4,9;По запросу;51600;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 20 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;20;40;Коррозионностойкая сталь;6,4;По запросу;60450;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 25 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;25;40;Коррозионностойкая сталь;11,5;По запросу;80590;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 32 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;32;40;Коррозионностойкая сталь;13,5;По запросу;85510;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 40 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;40;40;Коррозионностойкая сталь;17,7;По запросу;109590;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;50;40;Коррозионностойкая сталь;19,5;По запросу;113520;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 65 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;65;40;Коррозионностойкая сталь;41;По запросу;207040;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;80;40;Коррозионностойкая сталь;60;По запросу;223910;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;100;40;Коррозионностойкая сталь;75;По запросу;337420;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 125 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;125;40;Коррозионностойкая сталь;85;По запросу;383290;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж66п1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 10Х17Н13М2ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж66п1;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;150;40;Коррозионностойкая сталь;105;По запросу;404260;Под заказ
Клапан запорный сильфонный фланцевый ручной 15с5п DN 10 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;10;16;Углеродистая сталь;3,5;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15с5п DN 15 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;15;16;Углеродистая сталь;4,1;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15с5п DN 20 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;20;16;Углеродистая сталь;7,1;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15с5п DN 25 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15с5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;25;16;Углеродистая сталь;9;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж5п DN 10 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;10;16;Коррозионностойкая сталь;3,5;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж5п DN 15 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;15;16;Коррозионностойкая сталь;4,1;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж5п DN 20 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;20;16;Коррозионностойкая сталь;7,1;По запросу;0;Под заказ
Клапан запорный сильфонный фланцевый ручной 15нж5п DN 25 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15нж5п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сильфонное;Фланцевое;Ручной;25;16;Коррозионностойкая сталь;9;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 25 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;25;16;Углеродистая сталь;8,7;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 32 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;32;16;Углеродистая сталь;9,8;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 40 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;40;16;Углеродистая сталь;14,5;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 50 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;16;Углеродистая сталь;16,7;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 65 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;65;16;Углеродистая сталь;25;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 80 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;16;Углеродистая сталь;37;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 100 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;16;Углеродистая сталь;50;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13с18п DN 150 PN 1,6 МПа У1, корпус ст. 25Л, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13с18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -40 до +200;От -40 до +45;У1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;150;16;Углеродистая сталь;105;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 25 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;25;16;Коррозионностойкая сталь;8,7;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 32 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;32;16;Коррозионностойкая сталь;9,8;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 40 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;40;16;Коррозионностойкая сталь;14,5;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;16;Коррозионностойкая сталь;16,7;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 65 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;65;16;Коррозионностойкая сталь;25;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;16;Коррозионностойкая сталь;37;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;16;Коррозионностойкая сталь;50;По запросу;0;Под заказ
Клапан запорный сальниковый с обогревом фланцевый ручной 13нж18п DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13нж18п;Жидкие и газообразные среды, в том числе хлорсодержащие с содержанием влаги в хлоре не более 0,04%, по отношению к которым применяемые материалы коррозионностойки;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;10;5000;3000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;150;16;Коррозионностойкая сталь;105;По запросу;0;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 50 PN 1,6 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;16;Коррозионностойкая сталь;11;По запросу;85170;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 80 PN 1,6 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;16;Коррозионностойкая сталь;20,5;По запросу;249690;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 100 PN 1,6 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;16;Коррозионностойкая сталь;26;По запросу;328100;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 150 PN 1,6 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;150;16;Коррозионностойкая сталь;56;По запросу;390930;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 200 PN 1,6 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;200;16;Коррозионностойкая сталь;94;По запросу;702860;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 250 PN 1,0 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;250;10;Коррозионностойкая сталь;100;По запросу;1290960;Под заказ
Клапан запорный сальниковый прямоточный фланцевый ручной 13тн1п DN 300 PN 1,0 МПа УХЛ1, корпус ст. ВТ1-0, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;13тн1п;Агрессивные жидкие и газообразные среды;От -60 до +200;От -60 до +60;УХЛ1;А;ОТК;15;11000;1800;18 месяцев со дня ввода в эксплуатацию, но не более 24 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;300;10;Коррозионностойкая сталь;129;По запросу;0;Под заказ
