Наименование;Раздел;Таблица фигур;Рабочая среда;Условная пропускная способность Kvy, м³/ч;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Принцип устройства;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 32 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;32;6;Чугун;35;По запросу;40080;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 40 PN 0,4 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;40;4;Чугун;36;По запросу;42960;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 50 PN 0,4 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;50;4;Чугун;54;По запросу;45720;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 65 PN 0,3 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;65;3;Чугун;57;По запросу;48600;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 80 PN 0,3 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;80;3;Чугун;66;По запросу;65640;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 100 PN 0,3 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;100;3;Чугун;70;По запросу;88560;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 15 PN 1,0 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;15;10;Чугун;13;По запросу;31680;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 20 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;20;6;Чугун;23;По запросу;34320;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 25 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;25;6;Чугун;24;По запросу;37320;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 32 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;32;6;Чугун;37;По запросу;42960;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 40 PN 0,4 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;40;4;Чугун;38;По запросу;45720;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 50 PN 0,4 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;50;4;Чугун;58;По запросу;48600;Под заказ
"Клапан регулирующий эмалированный фланцевый ""до себя"" нормально закрытый 25ч36эм DN 65 PN 0,3 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч36эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально закрытый;Фланцевое;65;3;Чугун;61;По запросу;51360;Под заказ
