Наименование;Раздел;Таблица фигур;Рабочая среда;Условная пропускная способность Kvy, м³/ч;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Принцип устройства;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан регулирующий двухседельный фланцевый 25ч940нж DN 40 PN 1,6 МПа У3 (Kvy - 40? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч940нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"10; 16; 25; 40";От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;40;16;Чугун;25;По запросу;54560;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч940нж DN 50 PN 1,6 МПа У3 (Kvy - 63? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч940нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"16; 25; 40; 63";От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;50;16;Чугун;30;По запросу;72050;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч940нж DN 80 PN 1,6 МПа У3 (Kvy - 160? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч940нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);"40; 63; 100; 160";От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;80;16;Чугун;54;По запросу;97790;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч931нж DN 25 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч931нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;25;16;Чугун;15;По запросу;60500;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч931нж DN 40 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч931нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;40;16;Чугун;25;По запросу;65010;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч931нж DN 50 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч931нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;50;16;Чугун;30;По запросу;71720;Под заказ
Клапан регулирующий двухседельный фланцевый 25ч931нж DN 80 PN 1,6 МПа У3 (Kvy - ? м³/ч) с ЭИМ, корпус чугун;Клапаны регулирующие;25ч931нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, мазут и другие жидкие нефтепродукты, масляные фракции и другие среды);;От -15 до +300;От -15 до +50;У3;В;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;;Фланцевое;80;16;Чугун;54;По запросу;94160;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 15 PN 1,0 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;15;10;Чугун;13;По запросу;31680;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 20 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;20;6;Чугун;23;По запросу;34320;Под заказ
"Клапан регулирующий эмалированный фланцевый ""после себя"" нормально открытый 25ч35эм DN 25 PN 0,6 МПа У3 с МИМ, корпус чугун";Клапаны регулирующие;25ч35эм;Агрессивные среды, не содержащие твердых частиц;;От -15 до +120;От -15 до +50;У3;В;ОТК;5;1200;300;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;Нормально открытый;Фланцевое;25;6;Чугун;24;По запросу;37320;Под заказ
