Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан обратный поворотный под приварку 19лс47нж DN 150 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;150;40;Хладостойкая сталь;16;По запросу;43750;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 200 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;200;40;Хладостойкая сталь;23;По запросу;73320;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 250 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;250;40;Хладостойкая сталь;36;По запросу;111320;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 300 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;300;40;Хладостойкая сталь;72;По запросу;171200;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 350 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;350;40;Хладостойкая сталь;79;По запросу;230030;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 400 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;400;40;Хладостойкая сталь;123;По запросу;305420;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 500 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;500;40;Хладостойкая сталь;200;По запросу;496880;Под заказ
Клапан обратный поворотный под приварку 19лс47нж DN 600 PN 4,0 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс47нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;600;40;Хладостойкая сталь;315;По запросу;707120;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 50 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;50;63;Хладостойкая сталь;11;По запросу;23050;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 80 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;80;63;Хладостойкая сталь;13;По запросу;28530;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 100 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;100;63;Хладостойкая сталь;14;По запросу;41980;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 150 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;150;63;Хладостойкая сталь;19;По запросу;51150;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 200 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;200;63;Хладостойкая сталь;23;По запросу;85600;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 250 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;250;63;Хладостойкая сталь;44;По запросу;129800;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 300 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;300;63;Хладостойкая сталь;74;По запросу;199720;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 350 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;350;63;Хладостойкая сталь;90;По запросу;268460;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 400 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;400;63;Хладостойкая сталь;149;По запросу;356290;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 500 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;500;63;Хладостойкая сталь;244;По запросу;579520;Под заказ
Клапан обратный поворотный под приварку 19лс63нж DN 600 PN 6,3 МПа ХЛ1, корпус ст. 09Г2С;Клапаны обратные;Россия;19лс63нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +425;От -60 до +60;ХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Под приварку;600;63;Хладостойкая сталь;380;По запросу;721450;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;150;16;Коррозионностойкая сталь;40;По запросу;163060;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;200;16;Коррозионностойкая сталь;45;По запросу;256210;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 250 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;250;16;Коррозионностойкая сталь;61;По запросу;415420;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 300 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;300;16;Коррозионностойкая сталь;88;По запросу;560160;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 350 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;350;16;Коррозионностойкая сталь;108;По запросу;739200;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 400 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;400;16;Коррозионностойкая сталь;154;По запросу;989630;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 500 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;500;16;Коррозионностойкая сталь;302;По запросу;1718040;Под заказ
Клапан обратный поворотный фланцевый 19нж16нж DN 600 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж16нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;600;16;Коррозионностойкая сталь;417;По запросу;2212410;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;50;16;Коррозионностойкая сталь;15;По запросу;41840;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 65 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;65;16;Коррозионностойкая сталь;18;По запросу;51590;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;80;16;Коррозионностойкая сталь;22;По запросу;61340;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;100;16;Коррозионностойкая сталь;33;По запросу;81310;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 125 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;125;16;Коррозионностойкая сталь;37;По запросу;115010;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;150;16;Коррозионностойкая сталь;40;По запросу;148860;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;200;16;Коррозионностойкая сталь;45;По запросу;233870;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 250 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;250;16;Коррозионностойкая сталь;61;По запросу;379340;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 300 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;300;16;Коррозионностойкая сталь;88;По запросу;511520;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 350 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;350;16;Коррозионностойкая сталь;108;По запросу;674880;Под заказ
Клапан обратный поворотный фланцевый 19нж38нж DN 400 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н10Т;Клапаны обратные;Россия;19нж38нж;Жидкие и газообразные углеводороды, нефть, нефтепродукты, масла, природный газ, газоконденсат, вода, пар, аммиак, сухой и влажный хлор, агрессивные водородные и сероводородные с содержанием H2S и CO2 не более 6%*, другие жидкости и газы, неагрессивные к примененным в клапанах материалам, скорость коррозии корпусных деталей не более 0,2 мм/год;От -60 до +565;От -60 до +60;УХЛ1;ОТК;30;2800;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Поворотный;Фланцевое;400;16;Коррозионностойкая сталь;154;По запросу;903580;Под заказ
