Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 400 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;400;16;Чугун;0;Под заказ;1000046;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 450 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;450;16;Чугун;0;Под заказ;1000047;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 500 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;500;16;Чугун;0;Под заказ;1000048;0.png;-
Задвижка с обрезиненным клином литая с невыдвижным шпинделем фланцевая ручная 30ч39р DN 600 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;30ч39р ;Клиновая;Фланцевое;Ручной;600;16;Чугун;0;Под заказ;1000049;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;15;16;Латунь;0;Под заказ;2000001;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;20;16;Латунь;0;Под заказ;2000002;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;25;16;Латунь;0;Под заказ;2000003;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;32;16;Латунь;0;Под заказ;2000004;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;40;16;Латунь;0;Под заказ;2000005;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б1п DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б1п;-;Муфтовое;Ручной;50;16;Латунь;0;Под заказ;2000006;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;15;16;Латунь;0;Под заказ;2000007;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;20;16;Латунь;0;Под заказ;2000008;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;25;16;Латунь;0;Под заказ;2000009;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;32;16;Латунь;0;Под заказ;2000010;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;40;16;Латунь;0;Под заказ;2000011;0.png;-
Клапан запорный сальниковый муфтовый ручной 15б3р DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;15б3р;-;Муфтовое;Ручной;50;16;Латунь;0;Под заказ;2000012;0.png;-
