Наименование;Раздел;Таблица фигур;Короткое наименование;Состав;"Пределы давления
настройки, Рн, кгс/см2 (№ пружины)";Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN/DN1, мм;Давление PN/PN1, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Блок предохранительных клапанов БПУ Р 50-16 ХЛ1 50лс02нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-16 17лс17нж DN 50/80 PN 1,6/0,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-16-07хл1 23лс16нж1 DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-6-03хл1 23лс18нж DN 80 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс02нж1;Блок предохранительных клапанов БПУ Р 50-16 ХЛ1 50лс02нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-16 17лс17нж DN 50 (исп. В) / 80 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 50-16-07хл1 23лс16нж1 DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-6-03хл1 23лс18нж DN 80 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…16 (14)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;16/6;Хладостойкая сталь;160;По запросу;568190;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-16 ХЛ1 50лс06нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-16лс 17лс17нж DN 80/100 PN 1,6/0,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-16-07хл1 23лс16нж1 DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-6-03хл1 23лс18нж DN 100 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс06нж1;Блок предохранительных клапанов БПУ Р 80-16 ХЛ1 50лс06нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-16лс 17лс17нж DN 80 (исп. В) / 100 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 80-16-07хл1 23лс16нж1 DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-6-03хл1 23лс18нж DN 100 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…16 (34)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;16/6;Хладостойкая сталь;216;По запросу;843100;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-16 ХЛ1 50лс10нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-16лс 17лс6нж DN 100/150 PN 1,6/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-16-07хл1 23лс16нж1 DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-16-06хл1 23лс16нж DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс10нж1;Блок предохранительных клапанов БПУ Р 100-16 ХЛ1 50лс10нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-16лс 17лс6нж DN 100 (исп. В) / 150 (исп. В) PN 1,6 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 100-16-07хл1 23лс16нж1 DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-16-06хл1 23лс16нж DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1 (50); 0,8…1,6 (51); 1,5…3 (52); 2,5…4,5 (53); 4,5…8,5 (54); 8…16 (55)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;16/6;Хладостойкая сталь;400;По запросу;1176820;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 150-16 ХЛ1 50лс14нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-16лс 17лс6нж DN 150/200 PN 1,6/0,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-16-07хл1 23лс16нж1 DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 200-6-03хл1 23лс18нж DN 200 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс14нж2;Блок предохранительных клапанов БПУ Р 150-16 ХЛ1 50лс14нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-16лс DN 150 (исп. В) / 200 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 150-16-07хл1 23лс16нж1 DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 200-6-03хл1 23лс18нж DN 200 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1,5 (70); 1,5…3 (71); 3…5 (72); 5…8 (73); 8…12 (74); 12…16 (75)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;16/6;Хладостойкая сталь;635;По запросу;1745730;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 200-16 ХЛ1 50лс16нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 200-16лс 17лс17нж DN 200/300 PN 1,6/0,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 200-16-03хл1 23лс16нж DN 200 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 300-6-03хл1 23лс18нж DN 300 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс16нж2;Блок предохранительных клапанов БПУ Р 200-16 ХЛ1 50лс16нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 200-16лс 17лс17нж DN 200 (исп. В) / 300 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 200-16-03хл1 23лс16нж DN 200 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 300-6-03хл1 23лс18нж DN 300 PN 0,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1 (72); 1…2 (73); 2…3 (74); 3…5 (75); 5…7 (76); 7…9 (77); 9…12 (78); 12…16 (79)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200/300;16/6;Хладостойкая сталь;1093;По запросу;3532030;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 25-40 ХЛ1 50лс01нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 25-40лс 17лс25нж DN 25/40 PN 4,0/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 25-40-03хл1 23лс17нж DN 25 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 50-16-06хл1 23лс16нж DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс01нж1;Блок предохранительных клапанов БПУ Р 25-40 ХЛ1 50лс01нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 25-40лс 17лс25нж DN 25 (исп. F) / 40 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 25-40-03хл1 23лс17нж DN 25 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 50-16-06хл1 23лс16нж DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"4…8 (8); 8…16 (1); 16…25 (2); 25…40 (3)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25/40;40/16;Хладостойкая сталь;131;По запросу;433400;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-40 ХЛ1 50лс03нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-40лс 17лс25нж DN 50/80 PN 4,0/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-40-07хл1 23лс17нж1 DN 50 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-16-06хл1 23лс16нж DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс03нж1;Блок предохранительных клапанов БПУ Р 50-40 ХЛ1 50лс03нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-40лс 17лс25нж DN 50 (исп. F) / 80 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 50-40-07хл1 23лс17нж1 DN 50 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-16-06хл1 23лс16нж DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…20 (14); 20…30 (15); 30…40 (16)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;40/16;Хладостойкая сталь;165;По запросу;643590;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-40 ХЛ1 50лс07нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-40лс 17лс25нж DN 80/100 PN 4,0/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт; переключающее устройство ПУ 80-40-07хл1 23лс17нж1 DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-16-06хл1 23лс16нж DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс07нж1;Блок предохранительных клапанов БПУ Р 80-40 ХЛ1 50лс07нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-40лс 17лс25нж DN 80 (исп. F) / 100 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт; переключающее устройство ПУ 80-40-07хл1 23лс17нж1 DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-16-06хл1 23лс16нж DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…20 (35); 20…30 (36); 30…40 (37)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;40/16;Хладостойкая сталь;260;По запросу;911610;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-40 ХЛ1 50лс11нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-40лс 17лс25нж DN 100/150 PN 4,0/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-40-07хл1 23лс17нж1 DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-16-06хл1 23лс16нж DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс11нж1;Блок предохранительных клапанов БПУ Р 100-40 ХЛ1 50лс11нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-40лс 17лс25нж DN 100 (исп. F) / 150 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 100-40-07хл1 23лс17нж1 DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-16-06хл1 23лс16нж DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"8…16 (55); 16…26 (56); 26…40 (57)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;40/16;Хладостойкая сталь;450;По запросу;1313710;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 150-40 ХЛ1 50лс15нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-40лс 17лс21нж DN 150/200 PN 4,0/1,6 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-40-07хл1 23лс17нж1 DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 200-16-03хл1 23лс16нж DN 200 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс15нж1;Блок предохранительных клапанов БПУ Р 150-40 ХЛ1 50лс15нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-40лс 17лс21нж DN 150 (исп. F) / 200 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 150-40-07хл1 23лс17нж1 DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 200-16-03хл1 23лс16нж DN 200 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"8…12 (74); 12…18 (75); 18…25 (76); 25…35 (77); 35…40 (78)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;40/16;Хладостойкая сталь;685;По запросу;2031010;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-63 ХЛ1 50лс04нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-63лс 17лс89нж DN 50/80 PN 6,3/4,0 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-63-03хл1 23лс20нж DN 50 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-40-06хл1 23лс17нж DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс04нж1;Блок предохранительных клапанов БПУ Р 50-63 ХЛ1 50лс04нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-63лс 17лс89нж DN 50 (исп. ?) / 80 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 50-63-03хл1 23лс20нж DN 50 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-40-06хл1 23лс17нж DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"20…34 (55); 30…54 (56); 50…63 (57)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;63/40;Хладостойкая сталь;275;По запросу;1147620;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-63 ХЛ1 50лс08нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-63лс 17лс89нж DN 80/100 PN 6,3/4,0 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-63-03хл1 23лс20нж DN 80 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-40-06хл1 23лс17нж DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс08нж1;Блок предохранительных клапанов БПУ Р 80-63 ХЛ1 50лс08нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-63лс 17лс89нж DN 80 (исп. ?) / 100 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 80-63-03хл1 23лс20нж DN 80 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-40-06хл1 23лс17нж DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"25…35 (38); 35…44 (37); 44…50 (39); 50…63 (40)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;63/40;Хладостойкая сталь;380;По запросу;1385600;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-63 ХЛ1 50лс12нж2 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-63лс 17лс16нж DN 100/150 PN 6,3/4,0 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-63-03хл1 23лс20нж DN 100 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-40-06хл1 23лс17нж DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс12нж2;Блок предохранительных клапанов БПУ Р 100-63 ХЛ1 50лс12нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-63лс 17лс16нж DN 100 (исп. ?) / 150 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 100-63-03хл1 23лс20нж DN 100 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 150-40-06хл1 23лс17нж DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"25…40 (77); 40…55 (80); 55…63 (81)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;63/40;Хладостойкая сталь;745;По запросу;2358990;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-160 ХЛ1 50лс05нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-160лс 17лс90нж DN 50/80 PN 16,0/4,0 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-160-03хл1 23лс19нж DN 50 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-40-06хл1 23лс17нж DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс05нж1;Блок предохранительных клапанов БПУ Р 50-160 ХЛ1 50лс05нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-160лс 17лс90нж DN 50 (исп. J) / 80 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 50-160-03хл1 23лс19нж DN 50 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 80-40-06хл1 23лс17нж DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"53…90 (58); 85…124 (59); 124…141 (60); 140…160 (61)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;160/40;Хладостойкая сталь;300;По запросу;1209400;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-160 ХЛ1 50лс09нж1 в составе: клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-160лс 17лс90нж DN 80/100 PN 16,0/4,0 МПа ХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-160-03хл1 23лс19нж DN 80 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-40-06хл1 23лс17нж DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50лс09нж1;Блок предохранительных клапанов БПУ Р 80-160 ХЛ1 50лс09нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-160лс 17лс90нж DN 80 (исп. J) / 100 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа ХЛ1, корпус ст. 20ГЛ - 2 шт.; переключающее устройство ПУ 80-160-03хл1 23лс19нж DN 80 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.; переключающее устройство ПУ 100-40-06хл1 23лс17нж DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ - 1 шт.";"50…63 (40); 63…100 (41); 100…135 (42); 135…160 (43)";Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;160/40;Хладостойкая сталь;405;По запросу;1713430;25-30 рабочих дней
